time,kb,zos,salinity,water_temp,wind_direction,wind_speed,peace_discharge,peace_TN,peace_TP
1/4/1993,333,0.012906181,33.04347826,26.8,36,13.9,202,8.2,1.999090909
1/11/1993,667,0.015613713,33.06521739,27,118,16.2,423,10.1,1.934545455
1/18/1993,667,0.021701646,33.08695652,27.1,108,16.2,1470,12,1.87
1/25/1993,0,0.015950316,33.10869565,26.8,110,12.6,1450,10.0475,1.8705
2/1/1993,0,0.00897704,33.13043478,26.5,14,17.5,1490,8.095,1.871
2/8/1993,0,-0.000869858,33.15217391,26.1,81,15.7,1320,6.1425,1.8715
2/15/1993,0,-0.013538267,33.17391304,26.2,106,14.4,766,4.19,1.872
2/22/1993,0,-0.005464595,33.19565217,26,188,14.1,928,1.66,1.810666667
3/1/1993,0,-0.022791059,33.2173913,25.9,32,14.3,1090,1.732,1.749333333
3/8/1993,0,-0.038407884,33.23913043,26.3,292,18.1,1090,1.804,1.688
3/15/1993,0,-0.062933319,33.26086957,26.6,7,24.7,2560,1.876,1.626666667
3/22/1993,0,-0.061417051,33.2826087,25.5,108,18.4,2550,1.948,1.565333333
3/29/1993,0,-0.06024736,33.30434783,26.2,129,14.6,2000,2.02,1.504
4/5/1993,0,-0.037195044,33.32608696,26.4,81,17.6,3290,5.68,1.442666667
4/12/1993,0,-0.008214168,33.34782609,26.3,128,15.3,3140,9.34,1.381333333
4/19/1993,0,-0.012611815,33.36956522,26.5,40,14.3,2040,13,1.32
4/26/1993,0,-0.034968423,33.39130435,26.9,105,13.4,1800,9.3,1.44
5/3/1993,0,-0.018452846,33.41304348,26.8,122,14,797,6.973333333,1.172
5/10/1993,0,-0.026877505,33.43478261,27.3,72,9.8,495,4.646666667,0.904
5/17/1993,0,-0.031855223,33.45652174,27.2,98,8.5,309,2.32,0.636
5/24/1993,0,-0.022591745,33.47826087,26.9,88,11.6,186,2.103333333,0.7045
5/31/1993,0,-0.019285464,33.5,26.1,77,12,391,1.886666667,0.773
6/7/1993,0,-0.019499692,33.52173913,28.7,81,7.6,453,1.67,0.8415
6/14/1993,0,0.007423136,33.54347826,29.1,84,9.2,318,1.41,0.91
6/21/1993,0,0.016871832,33.56521739,28.8,97,10.7,177,7.9,3.37
6/28/1993,0,0.003120284,33.58695652,29.7,120,7.9,782,8.566666667,3.883333333
7/5/1993,0,0.006427766,33.60869565,31.3,97,7,757,9.233333333,4.396666667
7/12/1993,0,0.018052381,33.63043478,30.1,78,8.7,632,9.9,4.91
7/19/1993,0,0.027553563,33.65217391,31.5,112,9.3,498,9.2,4.525
7/26/1993,0,0.029788234,33.67391304,32,303,7.4,314,8.5,4.14
8/2/1993,0,0.033013923,33.69565217,32.2,289,9.7,782,7.8,3.755
8/9/1993,0,0.042683633,33.7173913,31.3,113,8.7,723,7.1,3.37
8/16/1993,0,0.048708535,33.73913043,31.8,65,9.4,393,7.55,3.17
8/23/1993,0,0.05144056,33.76086957,30.8,346,9.4,268,8,2.97
8/30/1993,0,0.054528911,33.7826087,31.3,281,11,824,5.15,3.31
9/6/1993,0,0.049031697,33.80434783,30.9,166,9.9,921,2.3,3.65
9/13/1993,0,0.046338428,33.82608696,31.4,118,10.4,1450,7.7,3.99
9/20/1993,0,0.068182806,33.84782609,29.8,96,12.6,1560,1.88,3.48
9/27/1993,0,0.077790992,33.86956522,30.2,65,9.2,1370,12,2.97
10/4/1993,0,0.083248268,33.89130435,29,52,12.3,797,12.33333333,2.96
10/11/1993,0,0.078705352,33.91304348,29.5,344,15.2,466,12.66666667,2.95
10/18/1993,0,0.078062569,33.93478261,29,160,13.5,1050,13,2.94
10/25/1993,0,0.064983803,33.95652174,29,49,9.8,1020,10.22,2.546
11/1/1993,0,0.062730232,33.97826087,27.8,48,15.9,1050,7.44,2.152
11/8/1993,0,0.049852223,34,27.9,64,13,1060,4.66,1.758
11/15/1993,0,0.059286703,34.02173913,28,110,13.1,635,1.88,1.364
11/22/1993,0,0.03343166,34.04347826,28.8,35,10.5,405,1.695,0.97
11/29/1993,0,0.019250857,34.06521739,27.6,23,11.4,327,1.51,0.576
12/6/1993,0,0.019193185,34.08695652,27.4,67,12.5,233,1.555555556,0.576444444
12/13/1993,0,0.005304665,34.10869565,27.7,51,11.4,182,1.601111111,0.576888889
12/20/1993,0,0.005079858,34.13043478,26.5,29,13.6,159,1.646666667,0.577333333
12/27/1993,0,-0.005076031,34.15217391,26.8,61,15,226,1.692222222,0.577777778
1/3/1994,0,-0.023088823,34.17391304,26.9,262,19.3,246,1.737777778,0.578222222
1/10/1994,0,-0.047687451,34.19565217,26.5,143,17.9,369,1.783333333,0.578666667
